source_file,input_statement,statement_type,A,D,I,B,C,O
Учет задач_Task_tracking_HUMAN,"At any given time, there must be at least one task assigned to you in the ""In Progress"" status.",rule,you,must,be assigned,To task,"to at least one, at any given time, in the 'In Progress' status",
Учет задач_Task_tracking_HUMAN,"For a project in development, this means you need to present the work plan in the form of tasks,",norm,you,need,present,the work plan,"For a project in development, in the form of tasks",
Учет задач_Task_tracking_HUMAN,Keep working notes in the comments of the task.,norm,implied actor,Should,Keep,working notes,in the comments of the task.,
дух старой школы_old-school_spirit,Don't make groundwork years in advance.,norm,implied actor,don't,make,groundwork,years in advance,
дух старой школы_old-school_spirit,"If you take someone else's code, be sure to put a link to the source code where it was taken from.",norm,you,should,put a link,to the source code where it was taken from,"If you take someone else's code,",
дух старой школы_old-school_spirit,You don't need your opinion about other people's code and methods of work without special request.,,,,,,,
дух старой школы_old-school_spirit,"If you produce results, you can do whatever you want.",norm,you,can,do ,whatever you want,if you produce results,
техника безопасности_safety_technology,"2.1 DO NOT OPEN other people's .doc, .docx, .xls, .pdf, .rtf",rule,implied actor,DO NOT,open,other people's files,".doc, .docx, .xls, .pdf, .rtf",
техника безопасности_safety_technology,Only use a VPN issued at work.,norm,you,[must] = only,use,a VPN,issued at work,
техника безопасности_safety_technology,Do not use Chrome except for testing purposes.,norm,you,do not,use,Chrome,except for testing purposes,
техника безопасности_safety_technology,6. Make backups as often as possible.,norm,implied actor,,make,backups,as often as possible,
техника безопасности_safety_technology,"Use different nicknames on social networks, at work, in other activities.",norm,implied actor,,use,different nicknames,"on social networks, at work, in other activities",
техника безопасности_safety_technology,Do not use smartphones for anything work-related.,norm,implied actor,do not,use,smartphones,for anything work-related,
правила оформления отчетов об ошибках_error_reporting_rules,"Be sure to attach any attachments to the bug, rather than linking them to a file-sharing site.",norm,you,should,attach,any attachments,"to the bug, rather than linking them to a file-sharing site",
module_HOWTO,"If third-party libraries are used, they should allow replacing malloc/realloc/free memory management functions (instead of them you will slip your VirtualAlloc wrappers in there).",norm,implied actor,should,allow replacing,malloc/realloc/free memory management functions,"If third-party libraries are used,",
module_HOWTO,The developer must take this into account and ensure that the module works in all modes.,rule,developer,must,ensure,the module works,in all modes,
module_HOWTO,You must have a Microsoft Visual Studio project of version 2015 or higher.,rule,you,must,have,a Microsoft Visual Studio project,of version 2015 or higher,
module_HOWTO,"In the combat build, lines should be obfuscated to the maximum and all debugging output should be disabled.",norm,implied actor,should,"obfuscate, disable","lines, debugging output",in the combat build,
module_HOWTO,Debug output should be output to c:/temp/modulename.log (the path to the log is configurable in the macro).,norm,implied actor,should,output,debug output,"to c:/temp/modulename.log, or (the path to the log is configurable in the macro)",
module_HOWTO,Each log entry must contain a timestamp accurate to the second.,rule,implied actor,must,have,a timestamp accurate to the second,In a log entry,
module_HOWTO,"If there are several builds of the same module on the specified date, a unique suffix should be added (e.g. cookies.22.04.2019.2).",norm,implied actor,should,add, a unique suffix,"If there are several builds of the same module on the specified date,",
module_HOWTO,Only after passing internal tests you can pass the module to the tester.,norm,you,can,pass,the module,after passing internal tests,
module_HOWTO,"For offline tests, you should write a demo launcher that will load the compiled module via loadLIbrary.",norm,you,should,write a demo launcher that will load the compiled module,the compiled module,via loadLibrary,
module_HOWTO,"Functions can be changed during cleanup, but again you will need to inform the administrator.",norm,you,can,change,functions,"during cleanup, you will need to inform the administrator",
module_HOWTO,"i.e. you can set logging in the module for debugging, but then you must remove debugging events when you release the build.",rule,you,can/must,set/remove,logging/debugging events,in the module/when releasing the build,
module_HOWTO,You should realize that sending an event to the parent is not instantaneous.,,,,,,,
module_HOWTO,"If a module is non-resident (it runs once and then shuts down), it must send an event when it terminates",rule,module,must,send,event,"when it terminates, If a module is non-resident (it runs once and then shuts down)",
